Name,Work Hours Per Day,
"Germany, Stuttgart PT 1.6 Mon-Fri",1.6,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Germany, Stuttgart PT 1.6 Mon-Fri', '1.6');"
Germany_Berlin FT 8h,8,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Germany_Berlin FT 8h', '8');"
Germany_Stuttgart Expat FT,8,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Germany_Stuttgart Expat FT', '8');"
Italy FT,8,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Italy FT', '8');"
Poland FT,8,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Poland FT', '8');"
Poland PT 6 Mon-Fri,6,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Poland PT 6 Mon-Fri', '6');"
Poland PT 6.4 Mon-Fri,6.4,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Poland PT 6.4 Mon-Fri', '6.4');"
Poland PT 7 Mon-Fri,7,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Poland PT 7 Mon-Fri', '7');"
Switzerland FT,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Switzerland FT', '7.5');"
USA FT,8,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'USA FT', '8');"
